Player,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills
Sinner YT,54,0.94,0.6,9428,8845,135,1.37,1.9,7047,9438
Bob Lazar Area51,1747,2.7,14.7,11920,27439,402,2.51,10.1,3991,8997
Dr_Krashツ,58,1.05,1.6,3631,3755,282,1.14,4.2,6762,7413
Kronik On FB.,342,2.91,10.8,3167,8222,754,3.51,13,5780,17630
Azeroth2100,135,1.5,2.2,6182,9096,4,0.63,0.9,437,274
FIR-TorTuGniaL-,28,1.1,1.1,2476,2705,164,1.54,3.5,4726,7004
Thomshot,292,2.12,4.3,6827,13845,596,2.65,7,8458,20828
Pup-pi,197,2.11,12.5,1571,2903,279,2.03,12.5,2224,3948
Znojmius CZ,94,1.07,1.6,5862,6195,285,1.91,4.3,6638,12148
ᵀʷᶦᵗᶜʰFURLANZERA,66,1.53,2.2,3068,4599,186,1.91,4.4,4249,7776
Twitchlvadriana,14,0.49,1,1363,661,205,1.1,5.8,3529,3660
Aɱιԃαɱαɾυ,147,1.71,2.6,5728,9546,394,1.75,4.4,8864,14809
CrabStik,48,1.19,0.9,5452,6421,128,1.22,1.6,8059,9673
Blaze_Rav3nkillz,554,1.13,5.8,9596,10243,109,0.93,2.8,3834,3450
ZEVEHㅤ,719,3.47,14.2,5080,15152,764,3.38,13.3,5740,16816
Muppetlogic,141,1.29,1.9,7497,9472,219,1.23,4.5,4837,5679
Ziximous,117,1.3,1.5,7731,9881,243,1.69,4.4,5521,8924
Banu-13Hz-,194,1.12,1.9,10264,11312,228,1.14,3.2,7158,7876
fayxeq,183,1.62,1.9,9617,15312,300,1.81,3.2,9271,16251
exeed RekinClown,575,2.81,5.6,10188,26966,818,3.74,11.7,7006,23169
Gughi black eye,28,0.82,2.1,1319,1053,467,1.36,4.6,10062,13066
itsbloodymarie,216,1.04,2.3,9503,9649,530,1.14,4.5,11760,12814
ttv Mochiii_x,4,1.05,3.8,104,105,216,2.01,12.9,1674,2929
Haze-Dubby ॐ,27,0.96,1.3,2043,1943,139,1.12,2.6,5433,5953
HGS C4_Astrofyke,246,1.65,3.3,7475,11935,382,2.53,4.8,7967,19206
SlamFPS,10,2.14,4.5,223,456,273,2.58,7,3926,9434
SpArTaNXx45,80,0.73,0.7,11086,8087,46,0.62,0.6,7873,4846
ᴛʜᴇ ŁØŘĐ,44,0.75,1.2,3618,2684,175,0.9,3.2,5437,4751
Winthern,498,1.68,4.1,12283,19763,562,1.61,5,11242,17219
dEAABLESS,5034,2.71,31.6,15916,29533,63,2.03,11.8,534,956
Ѕmaсks,186,3.11,9.5,1952,5484,1065,4.13,15.1,7064,24773
