Player,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills
ehcruz Ψ,153,1.04,2.2,7084,7208,371,2.26,9.8,3781,7707
Hootyhoo,162,1.7,2.7,5919,9765,431,2.06,6.2,6911,13360
Punisher-ك,102,0.96,1,10067,9534,171,0.99,2.1,8117,7885
NEW vinny,384,2.01,3.9,9927,19195,485,2.63,7.5,6445,15652
PumpMeHarderPapi,1659,5.31,20.3,8179,34602,466,3.52,11.4,4087,12737
iTøxiic ツ,193,0.98,1.8,10501,10080,270,1.22,3.5,7630,8982
VIPEX avok ӝ,132,0.83,0.5,26642,22007,157,1.52,2.7,5907,8737
DreamSketch,642,2.48,5.5,11618,27255,362,3.8,13.4,2699,8879
zxcv -iwnl- 圖例等級,132,1.13,1,12623,14131,150,1.49,2.9,5193,7525
NorCal Kаi,53,3.16,7.9,668,1946,538,4.93,16.3,3294,13596
Persicutor,514,2.03,6.7,7658,14535,97,1.4,2.7,3568,4853
NoobBryant,65,0.9,2.1,3168,2798,153,0.94,2.9,5261,4786
Twitch Khemzah,39,2,1.5,2670,5270,136,1.87,2.2,6058,11076
AquaFizz,309,2.03,3.2,9667,18980,390,2.09,5.7,6825,13474
BrotherDarkne55,149,1.94,3.5,4303,8078,371,2.13,7.7,4790,9432
Kun0HD,70,0.81,1.4,4838,3860,279,0.97,3.2,8808,8306
Tokyo Blade,261,1.02,2.5,10559,10534,152,0.93,1.7,8952,8166
RageFaija,57,0.62,0.9,6359,3910,198,0.81,2.9,6924,5456
Twitch_안느,197,1.7,3.7,5254,8622,364,2.39,11.1,3283,6986
M1chael07,61,0.84,1.7,3620,2980,656,1.48,6.8,9714,13436
Smoke 200ₚᵢₙG,23,1.48,1.7,1349,1956,487,1.71,5.1,9510,15416
Siуang YT,973,2.94,7.6,12732,34551,311,2.92,6,5197,14246
10ironhead00,321,0.91,2.4,13648,12161,18,0.57,1.1,1605,898
RS OP ytOviPatac,63,1.35,2.6,2387,3128,167,1.45,4.2,3945,5482
2jz swapped,1317,4.89,16.2,8136,33349,1110,5.05,24.6,4507,17163
shaxxnd .,545,2.38,4.3,12787,29106,907,2.85,10.1,8991,23077
kika チ,506,2.66,5.4,9330,23444,514,2.35,7,7294,15904
Twitch xxSHIFTx,27,2.49,6.6,408,947,94,3.45,16.4,572,1650
Marduniano,153,1.72,1.8,8591,14500,238,1.81,3.5,6841,11951
SneakyBets,402,2.22,4.6,8745,18505,337,1.57,4.6,7248,10851
JPipita7 TTV,387,1.28,5.7,6764,8184,227,1.31,5.6,4029,4975
1er World Cup,1172,4.2,16.5,7097,24892,1848,4.5,19.3,9581,34776
ClearlyOutPlayed,15,0.87,0.5,2908,2503,76,1.15,1.6,4618,5230
Techtie,46,1.51,6,765,1086,376,2.17,14.2,2641,4921
Blessed Takaツ,558,3.17,12.9,4339,11981,446,2.93,10,4460,11764
TTV DarkSider85,108,1.29,1.2,8792,11187,289,1.41,3.2,8937,12224
WERRRA03,129,0.9,2.3,5611,4947,224,0.77,1.9,11945,8975
ItsSimplyDanny,189,2.68,7.7,2463,6097,540,3.84,14.5,3729,12241
ARK MustafaAbi88,369,1.02,3.2,11590,11431,150,1.42,4.4,3413,4642
FzDDDDDDDDD ツ,307,2.34,7.6,4048,8741,762,2.55,11.7,6527,14672
Gamma Ψ,77,0.91,2.5,3053,2717,159,0.97,4,4009,3753
Boneman 74,186,0.77,2,9185,6942,86,0.67,5.1,1694,1071
L E Ó N.,276,1.41,1.8,15634,21655,215,2.24,5.3,4039,8571
pufinzム,311,4,12,2581,9077,675,5.06,16.4,4122,17453
New Killing,77,1.18,0.7,11817,13879,170,1.74,2.6,6417,10869
Crysonek,65,1.4,2.7,2392,3248,495,2,8.1,6138,11264
behrooz4248,230,1.13,3.3,7069,7733,397,1.16,6.9,5769,6208
Platine 永,151,1.1,2.4,6411,6899,122,1.22,3.5,3518,4142
pari93,27,1.25,2.2,1242,1523,145,1.21,4.9,2982,3438
CheQeMatt-CsK,257,1.25,2.3,11375,13870,170,1.23,2.8,6098,7298
herK0kales,164,1.34,1.3,12686,16721,211,1.45,2.7,7808,10996
LNDONY,631,1.9,4.5,13962,25354,69,1.87,3.3,2064,3733
M10 Pepper,859,4.39,19.2,4481,15886,1555,5.53,23,6768,28812
DAVIDLAG-ECUADOR,258,1.52,2.7,9645,14305,329,1.37,3.2,10211,13503
Eton1127 YT,194,1.2,1.3,15347,18143,107,1.3,2.1,5133,6541
Father Brooks,90,1.85,5.7,1587,2768,955,2.24,6.8,14070,29321
Sрicy,1847,4.23,9.2,20001,76734,707,3.67,11.1,6387,20864
Jonny_Quinn,655,2.48,6.6,9924,23002,712,2.07,5.9,12028,23461
rhihno,529,2.72,7,7588,19189,579,3.29,10,5781,17106
BaySoldier,778,3.61,8.6,9081,29955,987,3.69,14.3,6923,21906
Ackerman 76,120,1.73,2.6,4605,7754,143,1.7,3.5,4120,6771
DubNasty23,371,1.01,2.5,14699,14449,52,1.58,4.9,1066,1598
D0nger.,6,1.41,1.5,397,553,904,3.05,15.6,5786,14880
Mampuu,98,1.49,5,1958,2773,410,1.99,8.1,5064,9278
J0hny sinss,217,1.83,4.6,4756,8303,404,2.25,5.8,7003,14816
аkiooo.,160,1.68,3,5339,8695,457,1.67,4.3,10570,16901
NEW KidPlayer,298,1.65,3.2,9355,14955,324,1.83,4,8011,14059
ArielMove,385,1.24,3.8,10032,11957,64,1.09,3.5,1817,1918
LumacY,732,2.68,10.3,7109,17102,694,2.56,8.4,8255,19376
あの谷次郎,22,1.01,1.9,1149,1139,176,1.52,4.5,3894,5669
MΑTTΥP,23,1.87,10.7,214,357,1927,3.25,18.1,10672,28382
sF Leyenda ツ TV,420,1.64,6,6944,10673,406,1.93,7.8,5217,9302
AgroJ YT,91,1.26,2.1,4249,5258,245,1.65,3.3,7343,11701
MsPoison_IvyTTV,48,1,0.8,6373,6344,63,0.78,1.6,3969,3042
Guru Guru Waton,17,1.2,1.8,926,1095,287,1.97,5.6,5129,9554
OMC Nuchos,47,0.85,1,4660,3918,186,1.01,3.2,5784,5679
glaner jo,11,1.66,0.8,1305,2146,4,1.12,2.1,189,207
Retruffox,175,2.09,3.8,4604,9273,545,2.4,6.1,8933,20143
Buros13,111,1.33,3.1,3630,4676,53,1.07,2.8,1923,1992
ᴹʳ.GLΘPEZ ᴳᵒᵈ シ,52,1.07,1.3,4158,4403,169,1.28,4.3,3970,4881
SOX_Eastpak,145,1.31,3.8,3795,4775,306,1.33,5.1,6001,7584
faria,280,3.05,7,4022,11415,440,3.17,11.7,3774,10554
JACK PALANCE,25,0.95,0.4,6009,5664,72,0.77,1.5,4938,3729
ZodeXӝ,357,1.79,3.1,11685,20234,331,1.72,4.1,8043,13244
Abduzido 999,818,3.38,8.3,9842,30534,681,3.74,12.2,5603,18384
Iluvhugs,339,1.52,3.9,8774,12858,473,1.72,5.3,8929,14570
ÄĊỆ,423,1.98,5.6,7532,14079,323,1.6,4.6,7043,10781
ApexMinato,234,1.64,3.4,6932,10953,554,1.96,6.3,8805,16206
xDerfelCadarn,263,0.9,1.2,22717,20182,43,2.38,11.4,376,794
CookiePeanuts20,1,0.51,1,100,50,620,1.32,4.6,13567,17075
Stanley._,174,1.42,1,17293,24389,183,1.45,2.6,7079,10000
Ethereum 10k,44,0.86,0.9,4970,4225,273,1.8,6.2,4424,7478
twitch_evermix19,76,0.71,1.5,5129,3611,211,1.59,4.4,4785,7251
Lowborn007,74,0.87,0.9,7796,6703,306,1.86,4.4,6885,12217
Bi TAX YT,54,1.03,1.6,3315,3367,172,1.09,2.4,7234,7716
breakdownlow,84,1.16,0.8,9991,11481,349,0.97,2.2,15824,15062
TTV Unlucky man,150,2.2,3.2,4670,9929,350,2.41,4.6,7562,17385
VARCH4R,63,2.33,6.2,1014,2213,552,1.73,7.3,7566,12156
GkingTV,11,1.43,1.3,855,1206,241,1.86,6.4,3772,6583
ilMos7ro,278,1.74,4.7,5903,9794,486,1.91,6.7,7220,12863
Кrush,293,1.56,1.2,25090,38780,367,1.51,2.9,12530,18334
xJeFiiN,517,2.96,15.8,3274,8159,1456,3.59,22.1,6580,18409
baby estefi,111,1.33,2.7,4094,5286,434,1.22,5.5,7924,9116
Cz - xSn0Wツ,40,1.33,2.2,1847,2401,101,1.63,3.1,3213,5066
Rub e pera,150,1.06,1.7,8698,9034,227,1.12,3.3,6866,7452
twitch_Janivi,142,1.09,1.8,7704,8236,163,1.21,3.4,4812,5646
عبسي1998,82,0.98,1.3,6540,6310,256,1.52,3,8615,12741
KING-HYPER.,60,1.09,3.5,1705,1788,781,1.97,9.3,8435,15055
PuzzleMagnet,2,0.47,0.5,438,204,172,0.85,2.6,6492,5351
A6usM,210,1.59,3.4,6121,9376,263,1.83,4.9,5389,9367
SRD_iRehzZツ,81,1.62,2.9,2786,4380,464,2.22,6.2,7487,15602
qкeu,102,1.61,4.2,2445,3781,464,2.09,7.1,6551,12750
Juicycrits,989,4.25,17.3,5719,20126,692,4.96,21.6,3205,12468
headz0tHD,344,1.51,2.1,16354,24247,138,1.82,2.7,5047,8929
pr1nznook,99,2.23,4.3,2314,4933,608,2.44,4.4,13669,31827
sиow OhSiNena.,256,1.48,7,3681,5060,541,1.99,7.6,7119,13064
MASSV3,255,0.9,1.1,24149,21403,1,1.03,1.5,66,67
Micro Temper,29,0.78,3.9,739,556,307,1.42,12.5,2464,3065
TTV-Mark_Jess,121,1.28,3.8,3214,3949,144,2.04,5.2,2782,5379
DasLooney,0,0.26,0,258,66,44,0.75,3.5,1263,917
NIGHT X ZERO,94,1.06,1.4,6542,6823,405,1.75,3.4,11909,20131
tizycribs,322,2.01,4,8113,15698,552,3.11,11.2,4949,13654
Zіd FEHU,585,2.87,4.5,13101,35897,1122,4.31,16.3,6876,24804
RAGNA-AU,1240,6.72,25.7,4822,24088,220,3.3,14.7,1499,4223
SHS Strix 75,247,2.06,2.3,10753,21608,384,2.67,7.8,4951,12194
DZeSports Karim,408,2.89,5.4,7597,20800,640,3.06,8.6,7431,20772
HS oTACHE,46,1.37,2.3,1997,2671,418,1.77,5.8,7196,12014
Twitch GoatyyF1,647,2.43,6.9,9368,21217,366,2.41,8.3,4398,9716
trips ackerman.,119,1.69,2.1,5765,9534,327,1.94,3.7,8951,16693
Mypkun,2,0.34,0.1,1551,523,5,0.7,3.4,149,101
IamDrunk.,197,1.39,3.4,5857,7854,237,1.74,6.7,3538,5749
Sologamer,1507,4.47,14,10788,41527,740,3.37,8.9,8286,25395
JhnSmallBerries,973,0.9,10.7,9087,7329,315,0.76,5.1,6166,4433
MIB MiSTiCzinhoღ,448,2.19,4.9,9160,19054,606,2.49,7.7,7853,18023
Yamasaki_,366,1.48,7.8,4693,6401,828,1.45,7.9,10453,13916
ParniValjak77977,280,1.11,2.4,11558,12493,102,0.81,3,3393,2681
Elrawdy,76,1.75,1.1,6942,11989,220,1.99,2.3,9773,19024
нadley вc,166,2.12,9.6,1722,3299,104,0.74,5.7,1840,1291
ƬᵉᵉƊᵃⁿᴳ,115,1.59,3.9,2914,4462,139,1.19,4.7,2957,3360
FAMEaKi TTV,116,1.8,2.9,3996,6987,731,2.25,5,14643,31308
ttv mario600gsrツ,131,1.02,2.8,4746,4689,201,1.51,4.2,4750,6858
ЯモDモΨモSBLモSSモD,91,0.83,1.4,6714,5476,314,0.96,3.5,8910,8268
ᵀʷᶦᵗᶜʰDannyTrips,13,0.98,1,1368,1332,107,1.24,2.2,4768,5793
IG Kamalo,376,2.54,7.2,5227,12312,469,2.86,9.4,4990,12952
шноisdeyvid,112,0.94,0.8,14309,13346,90,1.11,1.7,5242,5740
Rage907,24,1.26,2.3,1030,1271,224,1.71,5.8,3873,6233
UEC_GameMaster15,35,0.91,1.3,2701,2418,182,1.37,2.2,8341,11157
Raikku.,936,1.84,8.3,11295,19033,618,1.99,8.2,7498,13667
NeFs Stodul,196,2.37,2.7,7197,16600,453,2.82,5.7,7904,21024
Ꙅnakebali,375,1.66,4.1,9130,14513,422,2.01,7.6,5543,10298
J Infected HFWD,57,1.07,1.1,5279,5568,187,1.27,2.8,6771,8356
tbz92,109,1.83,9.3,1169,1944,684,2.1,9.4,7301,13889
SOUL KING Ϟ,80,1.36,2.6,3024,3991,355,2.29,5.9,5968,12835
1Royal Ridge TTV,20,0.63,2.5,789,488,165,0.73,4,4106,2890
AL Rabbit神,19,0.96,2,954,898,246,1.76,5.8,4257,7058
staralliance74,46,0.7,0.4,10291,7210,85,0.95,1.7,4863,4553
Riddle Maufin 7,777,5.6,14.5,5369,25731,454,5.53,15.8,2871,13377
fiftytwo66,234,0.86,1.2,20062,17055,16,1.13,1.6,995,1106
MariStiko TTV,63,1.25,1.8,3598,4410,206,1.4,4.8,4259,5694
Méalune,54,0.79,2.4,2263,1741,171,0.86,3.4,5056,4193
Stufdyamomma,283,2.2,6.5,4359,8956,399,2.2,5.7,6978,14466
zeemace,366,1.45,5.9,6233,8501,544,1.9,10,5462,9338
Montiso,156,1.44,3.1,5063,7072,241,1.52,2.9,8278,12232
Code SAFE,54,1.76,5.4,1008,1681,396,2.14,9.5,4151,8041
jеtеr,174,0.8,0.9,18600,14745,176,0.69,4.1,4262,2819
PsychTazeTV,180,1.43,1.1,16199,22986,138,1.56,2.9,4823,7321
Tabbassat,175,1.41,3.4,5199,7105,227,1.29,5.7,3963,4811
Twitch HeyimPal,18,0.96,1.1,1591,1511,256,1.7,5.2,4882,7847
code tvRoshi,47,1.17,1.2,3788,4384,175,1.56,3.8,4585,6899
NTNS NIKOLAS,4,0.74,0.4,1078,795,34,0.48,0.9,3921,1858
FatalBroccoli,185,0.81,4,4671,3612,228,1,4.9,4672,4452
TikTok Boombi4es,305,2.24,2.3,13359,29285,239,2.21,4.7,5076,10682
lućano 87,711,3.18,11.4,6224,17519,794,3.61,15.1,5268,16152
Old Man Haze,218,1.95,4.3,5110,9533,137,2.49,13.7,998,2144
ur mad 11,201,2.13,4.6,4392,8947,599,2.45,6.4,9342,21401
55easy,133,0.84,1.5,9095,7497,227,1.13,4.2,5430,5905
GL bykn,1171,4.49,15,7799,29730,958,5.69,30.8,3110,12246
FreshD. on YT,73,1.4,1.5,4741,6546,616,1.84,4.3,14354,25304
TTV EVO LilRed,13,0.62,0.3,4107,2555,264,0.72,2.9,9037,6350
Epsilon_Radamas,84,1.6,3.5,2403,3705,562,1.67,6.9,8152,12662
WЁS,148,1.54,3.4,4413,6553,178,1.54,3.7,4787,7089
モイスティマーマン,122,1.3,3.3,3730,4681,283,1.04,4,7089,7079
TTV FallxV2,1085,3.99,12.4,8718,30434,1027,3.58,11.2,9201,29292
Aspö-DIGGA,241,1.88,2.9,8370,15313,500,2.08,4.7,10547,20939
rikardopl,137,2.08,4.3,3172,6303,953,2.17,7,13678,27554
ΨּدڶــۃڦــﮪــﯣۃΨ,219,1.38,3.4,6348,8485,533,1.92,7.1,7542,13468
AngelBvibin.,75,1.29,0.6,11625,14897,184,1.59,2.2,8439,13116
Yaggїシ,79,1.04,1.2,6579,6769,232,1.18,3,7736,8880
Lyóko,46,0.9,1.6,2878,2555,602,2.15,9,6690,13091
lady_cookie_mor,8,0.61,2.5,319,189,165,0.75,4.1,3997,2875
Snykrr7,63,0.77,0.8,7610,5834,147,0.93,2.2,6540,5914
FB Lorindos,254,1.59,4.1,6261,9541,222,1.06,4,5617,5735
DoryanLepro,44,1.23,2.5,1729,2077,161,1.18,3.4,4755,5428
xingxiddenxngel,103,1.5,2.9,3565,5194,247,1.59,3.8,6585,10080
IMMORTALOFDEATH,6,1.04,1.6,378,388,14,0.84,1,1424,1180
ZP_Cris 144Hz,582,1.91,6.7,8684,15457,861,2,10.1,8507,15312
Ac てぃあのすけ 鮭,238,2.01,3.8,6320,12219,358,2.33,8,4501,9671
YT_BadKarmaGR.,1350,3.32,10.8,12487,37015,1036,3.64,14.2,7272,22728
Chlander.,30,1.04,1,2943,3020,230,1.22,2.5,9071,10751
Colonel_Calico,36,0.84,1.5,2349,1945,141,1.32,3,4685,5992
ONYX AZZE-,508,3.8,9.5,5365,18449,1021,4.06,13.5,7555,26500
00LaPlume,5,0.63,0.7,722,455,84,0.83,2.6,3215,2608
aDamn_mf,188,1.77,3.6,5180,8825,507,2.51,9.1,5566,12707
Castaway Ball,202,2.8,14.6,1386,3316,910,3.2,12.2,7471,21009
MFZIG,108,2.26,2.6,4192,9245,583,3.18,6.5,8993,26777
Ergyt,1477,2.88,12.1,12241,30975,481,2.69,12,4019,9524
Procoro,80,1.97,4.9,1619,3034,621,2.1,9.7,6432,12206
HolyMoses75,138,1.19,0.7,19162,22671,28,1.01,1.5,1894,1884
MrMasterWong.ttv,67,1.39,1.4,4628,6337,215,1.79,5,4302,7309
BLEIKRAY,11,0.94,0.6,1936,1801,386,1.16,3.1,12276,13771
DJOKATRON 1g,385,2.22,4.5,8623,18307,421,2.9,7.7,5462,14631
FaZe Funk,1568,5.58,18.8,8362,37893,1351,5.17,21.5,6272,25433
iKee_.,684,2.77,6.9,9872,25463,817,3.1,10.5,7760,21551
ᴹᶠᴳ Nannya,7,0.58,1.3,525,301,172,0.97,7.3,2365,2120
ESMEGMATRASERO,128,1.41,3.8,3391,4614,212,1.99,5.3,4024,7581
Stixxu,101,1.11,3,3401,3655,344,1.34,2.5,13501,17622
Ashbørn,1444,4.82,18.6,7766,30494,610,3.37,10.4,5869,17733
MCES Andilex,710,4.05,10.9,6526,23560,873,4.66,14.4,6060,24153
kita ℭ,47,1.34,1.9,2444,3212,324,1.67,5,6434,10182
leezy36,127,1.47,4.4,2910,4078,790,1.75,11.3,6967,10820
ivanhorustwitch,99,1.4,2.1,4769,6553,247,2.12,4,6182,12577
Caslato,292,2.12,2.4,11995,24822,199,2.3,4,4917,10853
ƒx Impulse,365,2.42,6,6067,13819,531,2.66,7.4,7129,17531
Epsilon_killerYT,86,1.24,2.8,3123,3756,582,2.06,6.8,8531,16405
1337gage,556,4.29,12.4,4495,16907,915,4.65,16.3,5603,21810
rustyachelfg ӝ,636,3.95,8.8,7239,26065,1088,4.88,17,6387,25834
Twitch Elbotv,36,0.78,0.4,8021,6253,89,0.97,1.2,7150,6838
Straight to bed,105,2.11,3.7,2868,5830,181,2,4.4,4070,7769
Hachiko.31,176,0.67,2.5,7165,4698,447,1.07,6.2,7236,7249
SprizuhTTV,625,3.4,12,5218,15601,702,3.46,15.1,4653,13689
ℱhyzMyDudeᵀᵀⱽ,156,1.13,2.9,5332,5851,339,1.43,5.4,6290,8532
Hiếu Nà Ní,99,0.79,0.9,11071,8684,63,1.04,2.7,2345,2380
T-Roy Jenk1ns,16,1.03,1.1,1518,1554,79,1.04,2.3,3406,3457
saD EZΞ,233,1.15,2.5,9445,10639,288,1.57,4.5,6424,9616
ᵛᶰシX.THÀNH,58,1.87,5.7,1017,1797,470,2.44,7.7,6141,13826
Chelseas Simp,298,2.93,8.1,3659,9845,577,3.14,8.9,6459,18456
ApplesToApples,201,2.57,10.4,1937,4465,197,3.01,13.6,1452,3779
ehPom,401,3.28,7.5,5330,16174,527,3.88,11.1,4751,16370
WF Einstein,241,1.99,4.7,5119,9686,314,2.16,5.8,5452,11122
Grrr Sadness,53,1.58,3.9,1362,2068,387,1.5,6.9,5570,7768
TaCi drecu,20,0.74,1,1996,1472,164,1,2.1,7919,7722
FBSilentRenegade,467,3.38,13.3,3501,10258,1005,3.17,15.1,6639,17886
rehx cr,540,5.3,16.5,3267,14442,508,4.92,18.4,2763,11101
LesterInc,383,1.89,3,12977,23859,343,1.85,5.4,6333,11097
The Wagon.,48,1.03,1,4757,4865,105,1.13,1.6,6472,7187
丂爪OT卩0Ҝ乇尺,181,1.45,2,8990,12731,209,1.17,1.6,13391,15470
Twitch Lubester,330,2.59,5.9,5552,13512,475,2.73,7.5,6304,15891
Twitch Flubur,56,1.92,1.7,3275,6177,108,1.95,2.8,3922,7451
antoba3,345,1.78,8,4314,7055,447,2,7.1,6316,11736
noβiτα51,273,1.43,2.7,9983,13863,3,0.87,1.5,194,167
snowrid3r.,222,1.02,1.8,12164,12124,27,0.83,1.6,1666,1357
Gladiator 父,289,2.67,6.4,4535,11316,433,2.95,7.9,5451,14813
Zain_dxbTV,13,1.6,3.1,421,651,368,2.04,7.2,5130,9706
Mr.Jaxxx,259,2.2,4.7,5456,11410,497,2.89,7.7,6422,17094
ZumbaBRO,12,1.22,3.7,324,380,44,0.89,3.1,1401,1202
GAMES GEEK YT,293,1.67,3.9,7549,12139,265,1.68,4.6,5710,9147
Brandtmanǃ,497,2.05,7.5,6668,12648,638,1.96,9.2,6935,12371
Twitch DjokeiRRӝ,112,1.26,0.7,15216,18986,113,1.3,1.6,7029,8964
Alley_Katz,26,1.76,3.5,737,1249,264,1.24,5.6,4738,5548
ThicccccccccTaco,35,1.29,1.4,2463,3128,208,1.69,4.2,5006,8096
LokaPower,126,1.7,5.2,2421,3897,248,1.76,5.8,4249,7033
دايخ ب زمن بايخ,58,1.53,3,1920,2840,495,2.42,6.5,7622,17221
TWITCH brehhskii,204,2.12,2.9,7025,14441,206,2.35,3.8,5474,12389
Jendawy,623,2.45,7.2,8690,19774,866,3.06,10.8,8014,21882
Lacyboy21,26,1.09,1.6,1672,1786,42,1.13,2.4,1781,1959
tna ops scam me,556,2.6,5.5,10171,24962,396,2.55,6.7,5930,14113
Sidth ϟ,108,2.06,3.2,3343,6677,185,2.42,6,3093,7026
TBLACK_MaStEr,91,1.07,0.8,10777,11384,86,1.12,1.8,4843,5314
Spl_akaperejil,79,1.42,1.1,7211,10115,315,2.04,3.9,8137,15965
RD_ShadowWarrior,152,1.36,5.4,2812,3623,288,1.55,6.1,4715,6883
Labouviette,239,1.32,2.4,10076,12947,310,1.44,3.8,8160,11295
Logan OG ツ Ψ,506,1.35,3.8,13272,17239,307,1.78,7.9,3909,6408
itsSakr,85,1.47,2.8,2990,4284,234,1.94,6.1,3853,7024
ꙮKυʂԋKιʂʂҽʂꙮ,12,1.09,1.4,830,895,334,1.86,6.9,4831,8363
Twitch Sreys,434,3.26,8.2,5302,15886,1590,3.44,12.8,12382,37176
JimB0N_,228,1.33,3,7583,9752,377,1.73,5.4,7028,11533
eRa kingguii,128,1.11,1.1,11511,12611,62,1.29,2,3114,3952
BABA ON TROVO,54,0.97,0.6,9718,9394,100,1.32,1.8,5691,7398
mastrchickn,179,1.79,6,2965,4976,730,3.03,12.3,5946,15820
BAKUNC,202,1.14,1.9,10548,11806,211,1.17,2.3,9100,10373
feArless AbuMosa,99,1.52,2.2,4477,6647,207,1.61,3.9,5319,8218
LOV_GANICUS,670,2.17,8.6,7767,15410,290,2.1,10.7,2702,5068
IZUM0X,75,2.08,5,1487,2931,383,3.35,11.1,3442,10254
Ragnarok.mbk,1006,4.98,11.9,8434,36993,645,5.45,15.7,4117,18934
fredrickzoller01,251,3.04,9.1,2773,7668,551,3.4,9,6093,18840
シ Tripple シ,537,2.13,7.3,7342,14494,1138,2.28,10.3,11044,22595
Mr.Titąn,253,2.29,4.3,5915,12942,186,2.5,5.8,3218,7572
Juli_ARG,955,2.16,5.7,16620,33832,39,1.26,1.4,2809,3495
ttv. Au_ThatHurt,161,2.11,6.8,2383,4689,315,1.93,8.3,3811,6731
Twitch Jayyyurr,119,1.94,4.1,2912,5406,204,2.07,3.8,5420,10781
ΚΙΚΙ.,88,1.52,1.9,4641,6928,477,2.33,6.7,7113,15449
imBackhou,510,3.28,12.1,4226,12196,794,4.12,16.5,4800,16516
ṨHADOWッ,26,0.87,1.3,1978,1699,183,1.49,4.2,4325,6155
SRN MiST,841,2.09,8.6,9748,18575,642,2.31,9.3,6917,14509
cleyton11 TTV,228,1.65,4.8,4796,7557,363,2.1,5.5,6572,13059
R4Doc,505,1.71,5.7,8817,14187,122,1.85,4.2,2931,5190
Ttv Don_Ivory,22,1.46,2.4,918,1305,294,1.9,5.6,5235,9400
KenMcCullough TV,33,0.67,0.8,4368,2890,160,1.08,3.7,4272,4461
KFC_Z4-77,87,1.14,0.8,10752,12169,103,1.35,3.6,2889,3749
Lil Ahiahi.,985,3.05,20.6,4773,11540,436,2.24,9.3,4682,9506
Yg M1nw3r 7,206,2,1.7,11835,23209,263,2.34,4.6,5743,12812
Bro it is me,92,0.75,1.2,7853,5819,139,0.79,2.8,5015,3845
Nabbo43ver,58,0.98,1.8,3229,3120,48,1.09,3,1575,1657
greenbeanmatt,190,1.83,2.5,7452,13324,348,1.72,6.5,5392,8699
Massacre_all,122,1.27,1.7,7064,8782,114,1.16,1.5,7404,8443
User-f89b7b9029,171,1.77,1.6,10776,18790,260,2.05,2.8,9150,18235
Im Zando,545,2.45,3.9,14119,33302,523,2.89,9.4,5543,14519
RexKarni,328,2.08,3.9,8480,16974,204,2.37,5.6,3629,8101
Aztack,176,1.38,4.1,4306,5682,511,1.68,6.3,8090,12728
miLk_33,39,1.14,1.7,2256,2522,193,1.3,4.2,4598,5724
Juliana x,28,1.02,1.3,2158,2171,303,1.39,6.3,4833,6316
etcher.,332,1.04,4.3,7705,7646,201,0.88,4.9,4106,3441
skodx,77,1.52,1.2,6213,9312,267,1.74,2.5,10593,17957
90 PING NOOBY,348,1.8,8.1,4311,7124,336,2.09,8.2,4116,7919
OG Orio,17,1.57,2.6,651,994,317,2.19,5.7,5555,11466
JohannSilber,279,0.76,2.6,10774,7940,127,0.86,5.3,2409,1959
Focusᴿᵉʸˡⁱ ӝ,126,1.43,1.5,8526,12010,155,1.7,2.3,6646,11050
xkom AGO Kettle,254,2.81,3.7,6929,18781,328,3.27,4.6,7079,22062
synzao,1396,5.04,15.4,9081,38746,498,4.89,12.1,4130,17761
TTVGrazyna123,46,1.6,2.6,1803,2803,339,1.94,5.4,6315,11580
Wαsαbι,1385,2.34,11.5,12045,24915,508,2.35,13.5,3772,7677
Notorious Lo,5,0.69,1.7,296,200,124,0.81,4.1,3020,2333
Waliza B3zli,125,1.64,2.3,5331,8558,300,2.17,4.3,6940,14407
TTv Rainboww420,492,2.01,7,7077,13232,839,2.14,13.3,6318,11720
petar1582008,656,0.9,5.9,11037,9332,16,0.68,3.1,517,342
Cazy Fox,88,1.28,2.1,4195,5239,701,1.65,8.5,8201,12381
I_TheDarkSide,549,1.15,3,18289,20465,134,1.21,3.3,4089,4791
WoJtAzInKa.,460,2.14,3.3,13910,28760,388,2.27,4.8,8163,17639
arc0se ttv,233,3.14,10.3,2254,6354,640,3.72,15.3,4181,13167
Oblivion Smasher,11,0.39,0.2,4871,1874,5,0.84,0.8,634,529
Normich,20,1.28,2.8,708,880,109,1.85,4.7,2330,4110
MR_KOKO_UAE,89,1.85,2.8,3172,5690,280,2.34,5.9,4740,10449
Die Weißen,278,1.31,2.4,11486,14643,373,2.66,7.4,5049,12418
PSYCHO Maestro7,233,2.49,2.3,10234,24890,219,2.87,5.2,4197,11421
FB Sketchy,469,1.81,10.2,4615,7485,469,2.49,12.1,3889,8527
PiNoCh82,1057,1.7,11,9581,14497,261,2.09,10.1,2597,4891
Shayustv,611,3.93,12.3,4955,17068,622,4.1,14.5,4295,15058
JayRᵀⱽ,50,1.87,3,1674,3031,224,2.81,8.7,2573,6602
FB JusticeRolls,124,1.29,2.2,5683,7194,198,1.58,4.7,4236,6366
Drolby Crypto,1486,3.84,12.9,11497,38468,345,3.23,12,2867,8154
SAQR Souriаnо,624,3.65,10.1,6197,20364,552,3.41,11.2,4939,14966
Quartzy ӝ,179,1.39,1.3,13577,18628,148,1.3,1.9,7868,10001
ToXic_Creiven,144,1.4,2.2,6468,8849,370,2.3,6,6125,13223
Aykut MT,18,1.43,2,912,1282,62,1.61,2.4,2594,4088
CapiTanSalchich4,180,1.02,1.3,13689,13736,55,1.55,3.6,1524,2270
