Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
FaZe Funk,1518170,1568,5.58,18.8,8362,37893,49702
iKee_.,1406751,684,2.77,6.9,9872,25463,58190
ᴹᶠᴳ Nannya,64534,7,0.58,1.3,525,301,2994
ESMEGMATRASERO,288201,128,1.41,3.8,3391,4614,12446
Stixxu,535038,101,1.11,3,3401,3655,22236
Ashbørn,1500597,1444,4.82,18.6,7766,30494,44723
MCES Andilex,1325453,710,4.05,10.9,6526,23560,49345
kita ℭ,240481,47,1.34,1.9,2444,3212,9636
leezy36,570348,127,1.47,4.4,2910,4078,22882
ivanhorustwitch,402858,99,1.4,2.1,4769,6553,18564
Caslato,2045565,292,2.12,2.4,11995,24822,79486
ƒx Impulse,1115833,365,2.42,6,6067,13819,38104
Epsilon_killerYT,261515,86,1.24,2.8,3123,3756,9101
1337gage,1025084,556,4.29,12.4,4495,16907,37295
rustyachelfg ӝ,1289888,636,3.95,8.8,7239,26065,42455
Twitch Elbotv,568631,36,0.78,0.4,8021,6253,25113
Straight to bed,380752,105,2.11,3.7,2868,5830,14823
Hachiko.31,1076711,176,0.67,2.5,7165,4698,49401
SprizuhTTV,966514,625,3.4,12,5218,15601,34572
ℱhyzMyDudeᵀᵀⱽ,820423,156,1.13,2.9,5332,5851,38346
Hiếu Nà Ní,1046570,99,0.79,0.9,11071,8684,54553
T-Roy Jenk1ns,235768,16,1.03,1.1,1518,1554,9790
saD EZΞ,1035258,233,1.15,2.5,9445,10639,44265
ᵛᶰシX.THÀNH,159291,58,1.87,5.7,1017,1797,7432
Chelseas Simp,415488,298,2.93,8.1,3659,9845,16882
ApplesToApples,127988,201,2.57,10.4,1937,4465,4893
ehPom,925966,401,3.28,7.5,5330,16174,33231
WF Einstein,966531,241,1.99,4.7,5119,9686,37590
Grrr Sadness,236337,53,1.58,3.9,1362,2068,9314
TaCi drecu,199565,20,0.74,1,1996,1472,8766
FBSilentRenegade,919020,467,3.38,13.3,3501,10258,30423
rehx cr,1080959,540,5.3,16.5,3267,14442,37219
LesterInc,2173794,383,1.89,3,12977,23859,78653
The Wagon.,650125,48,1.03,1,4757,4865,28013
丂爪OT卩0Ҝ乇尺,1203193,181,1.45,2,8990,12731,48502
Twitch Lubester,994186,330,2.59,5.9,5552,13512,37502
Twitch Flubur,184750,56,1.92,1.7,3275,6177,6767
antoba3,567170,345,1.78,8,4314,7055,20450
noβiτα51,1821004,273,1.43,2.7,9983,13863,73444
snowrid3r.,2028292,222,1.02,1.8,12164,12124,89501
Gladiator 父,818979,289,2.67,6.4,4535,11316,29069
Zain_dxbTV,71016,13,1.6,3.1,421,651,2796
Mr.Jaxxx,884793,259,2.2,4.7,5456,11410,37344
ZumbaBRO,55897,12,1.22,3.7,324,380,2256
GAMES GEEK YT,1252218,293,1.67,3.9,7549,12139,47061
Brandtmanǃ,1284949,497,2.05,7.5,6668,12648,52437
Twitch DjokeiRRӝ,1617553,112,1.26,0.7,15216,18986,64072
Alley_Katz,207913,26,1.76,3.5,737,1249,8559
ThicccccccccTaco,379479,35,1.29,1.4,2463,3128,15890
LokaPower,313528,126,1.7,5.2,2421,3897,12658
دايخ ب زمن بايخ,230083,58,1.53,3,1920,2840,8539
TWITCH brehhskii,1186354,204,2.12,2.9,7025,14441,44847
Jendawy,1007624,623,2.45,7.2,8690,19774,40217
Lacyboy21,229592,26,1.09,1.6,1672,1786,9492
tna ops scam me,1664802,556,2.6,5.5,10171,24962,63460
Sidth ϟ,430361,108,2.06,3.2,3343,6677,14723
TBLACK_MaStEr,1197145,91,1.07,0.8,10777,11384,48635
Spl_akaperejil,988051,79,1.42,1.1,7211,10115,37819
RD_ShadowWarrior,473095,152,1.36,5.4,2812,3623,19189
Labouviette,1344451,239,1.32,2.4,10076,12947,54971
Logan OG ツ Ψ,1793250,506,1.35,3.8,13272,17239,71710
itsSakr,442062,85,1.47,2.8,2990,4284,16773
ꙮKυʂԋKιʂʂҽʂꙮ,82790,12,1.09,1.4,830,895,3509
Twitch Sreys,290046,434,3.26,8.2,5302,15886,11992
JimB0N_,983299,228,1.33,3,7583,9752,43092
eRa kingguii,1646381,128,1.11,1.1,11511,12611,71883
BABA ON TROVO,1385662,54,0.97,0.6,9718,9394,62122
mastrchickn,457512,179,1.79,6,2965,4976,17785
BAKUNC,1513677,202,1.14,1.9,10548,11806,63261
feArless AbuMosa,696669,99,1.52,2.2,4477,6647,28631
LOV_GANICUS,2116804,670,2.17,8.6,7767,15410,83095
IZUM0X,333306,75,2.08,5,1487,2931,13076
Ragnarok.mbk,1781698,1006,4.98,11.9,8434,36993,56877
fredrickzoller01,483870,251,3.04,9.1,2773,7668,17927
シ Tripple シ,812146,537,2.13,7.3,7342,14494,31124
Mr.Titąn,737902,253,2.29,4.3,5915,12942,29269
Juli_ARG,2997645,955,2.16,5.7,16620,33832,107874
ttv. Au_ThatHurt,403928,161,2.11,6.8,2383,4689,15409
Twitch Jayyyurr,519714,119,1.94,4.1,2912,5406,20167
ΚΙΚΙ.,735056,88,1.52,1.9,4641,6928,32928
imBackhou,842869,510,3.28,12.1,4226,12196,34512
ṨHADOWッ,93456,26,0.87,1.3,1978,1699,3788
SRN MiST,1779622,841,2.09,8.6,9748,18575,74004
cleyton11 TTV,796221,228,1.65,4.8,4796,7557,33130
R4Doc,2299136,505,1.71,5.7,8817,14187,93203
Ttv Don_Ivory,149499,22,1.46,2.4,918,1305,5858
KenMcCullough TV,658450,33,0.67,0.8,4368,2890,31518
KFC_Z4-77,1716108,87,1.14,0.8,10752,12169,70962
Lil Ahiahi.,1784082,985,3.05,20.6,4773,11540,66401
Yg M1nw3r 7,1699512,206,2,1.7,11835,23209,64611
Bro it is me,797130,92,0.75,1.2,7853,5819,33851
Nabbo43ver,663248,58,0.98,1.8,3229,3120,28832
greenbeanmatt,613959,190,1.83,2.5,7452,13324,23214
Massacre_all,1287658,122,1.27,1.7,7064,8782,51860
User-f89b7b9029,1342573,171,1.77,1.6,10776,18790,49572
Im Zando,1603112,545,2.45,3.9,14119,33302,61518
RexKarni,1721943,328,2.08,3.9,8480,16974,62718
Aztack,601486,176,1.38,4.1,4306,5682,26196
miLk_33,365871,39,1.14,1.7,2256,2522,16364
Juliana x,368430,28,1.02,1.3,2158,2171,16981
etcher.,1864561,332,1.04,4.3,7705,7646,82330
skodx,871701,77,1.52,1.2,6213,9312,35671
90 PING NOOBY,840670,348,1.8,8.1,4311,7124,31354
OG Orio,104170,17,1.57,2.6,651,994,3891
JohannSilber,1961383,279,0.76,2.6,10774,7940,92100
Focusᴿᵉʸˡⁱ ӝ,883405,126,1.43,1.5,8526,12010,33582
xkom AGO Kettle,1133628,254,2.81,3.7,6929,18781,43069
synzao,2145429,1396,5.04,15.4,9081,38746,64439
TTVGrazyna123,219937,46,1.6,2.6,1803,2803,8515
Wαsαbι,1857020,1385,2.34,11.5,12045,24915,71763
Notorious Lo,22837,5,0.69,1.7,296,200,1011
Waliza B3zli,918495,125,1.64,2.3,5331,8558,36576
TTv Rainboww420,1378233,492,2.01,7,7077,13232,54234
petar1582008,3289700,656,0.9,5.9,11037,9332,146657
Cazy Fox,480363,88,1.28,2.1,4195,5239,19844
I_TheDarkSide,2726212,549,1.15,3,18289,20465,115979
WoJtAzInKa.,1741188,460,2.14,3.3,13910,28760,59504
arc0se ttv,611250,233,3.14,10.3,2254,6354,21753
Oblivion Smasher,364212,11,0.39,0.2,4871,1874,16940
Normich,88834,20,1.28,2.8,708,880,3843
MR_KOKO_UAE,586313,89,1.85,2.8,3172,5690,22577
Die Weißen,1774675,278,1.31,2.4,11486,14643,79348
PSYCHO Maestro7,1566925,233,2.49,2.3,10234,24890,56468
FB Sketchy,1318765,469,1.81,10.2,4615,7485,53737
PiNoCh82,2212892,1057,1.7,11,9581,14497,89450
Shayustv,678322,611,3.93,12.3,4955,17068,23966
JayRᵀⱽ,340896,50,1.87,3,1674,3031,12867
FB JusticeRolls,997042,124,1.29,2.2,5683,7194,42620
Drolby Crypto,2493283,1486,3.84,12.9,11497,38468,92408
SAQR Souriаnо,1211468,624,3.65,10.1,6197,20364,43093
Quartzy ӝ,1686134,179,1.39,1.3,13577,18628,73529
ToXic_Creiven,619048,144,1.4,2.2,6468,8849,24113
Aykut MT,136514,18,1.43,2,912,1282,5364
CapiTanSalchich4,2714186,180,1.02,1.3,13689,13736,120145
W.Y.D.D,466102,329,3.19,7.7,4254,12511,15746
WsaMZ,436054,66,1.63,2.8,2398,3793,18042
el bot L4r0us.,1221134,390,2.14,5.1,7666,15605,49668
Ninja,743902,2234,9.21,29.7,7511,48620,21730
おいちゃんくん,962243,225,2.48,5.6,4016,9387,36239
やんキーくん,261300,82,2.2,5.4,1509,3146,9680
Guizola tcheco,1052697,141,1.92,1.7,8337,15767,39662
SK Perikan,1890301,273,1.09,2.9,9470,10024,80295
ᴅʜᴋ,761160,364,2.8,12.8,2852,6967,28376
Eskosr,982031,723,6.96,32.5,2224,10445,30317
kuchilo,441696,138,1.45,3,4656,6568,16904
Atom Onslaught,841494,129,0.97,1.8,7265,6931,36659
yogartFart,1447992,965,4.29,13.5,7128,26420,53543
AlbertPGames,577722,122,0.96,2.9,4186,3899,24858
SuchA_FabrUwU,663733,127,1.55,3.1,4080,6122,26038
ɛɗuzɛx pɑgѳɗɛiʀѳ,999737,83,1.48,1.2,6649,9714,42030
Barney ઽєʋ ⓐⓜⓘⓖⓞ,1317828,60,0.85,0.5,11975,10130,56431
Dv1 Cichy6,913793,183,1.19,2.8,6578,7590,37104
DinD0ni,275629,17,0.95,1.2,1431,1344,11890
GodFire 40fps,742981,238,1.46,4.9,4899,6811,28559
ChefShabbа,1268156,412,2.74,5.3,7803,20219,44793
Mende.Z,623408,126,1.41,1.6,7766,10739,23482
bonlad,891503,366,2.66,8.9,4112,9946,32393
Twitch igzufn,1670193,134,1,1.1,11746,11643,74424
Mason3FN,1368438,192,1.6,2.3,8365,13102,57381
shein 32,1799057,740,1.67,7.2,10308,15966,70456
IamThedd,1340390,161,0.86,1,15922,13583,56785
Tomahok21,1116578,117,1.13,1.5,7848,8712,44014
JAY REMMY,825465,365,2.81,8.2,4445,11477,30280
SAd NtinakiDim,397782,82,1.09,2.9,2797,2960,16839
Junglah,937154,466,3.22,9.5,4931,14363,32977
WarriorPixie,263721,12,0.67,0.7,1807,1210,11824
THC_LokoBCN,922366,126,1.05,2,6380,6575,39651
Pandore Red,1072469,232,1.8,4.9,4745,8110,47784
HIƎI,1182745,105,0.86,1.5,7142,6067,53603
Soy 4Bayte,513494,180,2.18,4.8,3733,7749,19113
Skilryl,1163165,91,1.29,0.7,12245,15638,46042
Papa Schultzz,1257559,270,1.44,6.5,4143,5588,52075
KindaMicko,879271,105,1.54,1.7,6209,9388,33293
Jakk3dd,430940,213,3.2,10.1,2101,6036,14321
HERES VANDAL,666544,208,2.02,6.9,3005,5643,25297
LOKO2g,182711,88,2.27,4.7,1859,4018,6621
TiltedXanax,2175622,285,0.91,2.2,13142,11646,93824
LTS DrN,1756706,213,1.41,1.9,11199,15470,75551
gυsтıη,691306,93,1.38,1.8,5255,7119,29143
Fr0s7-G,610247,234,1.24,7.2,3258,3761,26382
DJJCAP,1305545,131,1.19,2.3,5803,6765,54444
ᴰᴱᴹᴼᴺᴰˢ Heritas.,1442387,131,1.09,1.4,9553,10258,61103
Le Vétéran,581957,49,1.07,1.2,3950,4188,24559
Mctr 31,815563,200,2.27,4.8,4200,9095,32573
Kerneyh,783184,127,1.76,3.3,3817,6502,34161
Cleхi,782230,106,0.79,1.7,6239,4839,34523
Elba_zurita28,642126,34,0.68,0.8,4009,2704,29893
R4W BILAL,500370,96,1.07,2.5,3802,3974,20202
SATIS TheFeloz ϟ,1206673,429,3.23,8.7,4950,14589,44188
SaltyTV.,176165,64,2.23,4.7,1348,2869,6301
Albraiik,1331138,1030,4.11,11.4,9003,32732,51244
VwolfHD,1601639,747,3,7.8,9540,26401,58336
ProStraTsS,797529,278,1.59,6.7,4122,6118,31257
iDrop .,1199610,369,3,7.4,4992,13889,44867
iAventado,1500254,578,2.47,8.4,6848,15474,54296
ずっきーいずごっど,581320,374,5.46,22.7,1645,6944,18228
Sabi .,1903816,205,0.98,1.2,17261,16694,79530
Zero Kash,374719,49,1.49,1.7,2929,4282,14410
Chickuh,13598,1,0.41,0.4,233,96,661
iTs Yanis-YT,1191522,85,1.16,1,8521,9819,49919
OOGYFISHY,1232107,191,0.96,1.8,10593,9969,52226
LP toothpiqk,184367,218,2.76,8.5,2567,6490,5802
Tiger_Sniper7,70656,23,1.1,4.9,472,495,3022
NightOwlLuna,6876,0,0.26,0,106,28,324
974RoyalTTHIASMA,1060254,95,1.8,1,9695,17256,38809
100T MrSalsiccia,914180,209,1.47,2.2,9355,13468,34871
TwitchGipsy_loko,948071,58,0.91,0.9,6420,5804,41253
Watary-DtoXx,291927,67,0.71,3,2238,1537,13372
CONANIZED,502448,55,1.24,2.8,1948,2340,21423
Patron.Raf.420,1557337,796,2.22,8.7,9132,18506,57544
Nhel Dormilonzzz,978768,242,2.23,4,6010,12886,37345
GW_Lettuce,390041,249,4.59,18.8,1327,4947,15228
Daddy Skipps,10630,2,0.26,1.4,141,36,489
Denkerh,1002035,109,2.03,1.7,6428,12851,35841
MDF_LaRKiN,334664,47,0.91,1.5,3148,2825,14146
lamprosokiller,410731,80,0.52,4,1977,982,19601
Beznickos -_-,1344127,681,2.88,6.6,10261,27615,50845
Jo zo,286421,78,2.09,2.8,2760,5603,10639
Twitch Ovotz,1398932,616,3.4,8.1,7610,23789,47947
ZealousPumpkinTV,119937,46,1.48,2.8,1637,2354,4555
KPI Swapz,1219803,587,2.85,6.4,9112,24260,49929
REBEL ARMY CINC,158063,4,0.43,0.5,800,341,7814
Y_modab_A,66640,16,0.99,4.3,371,350,3125
ᴢᴇʙʀᴀ.,980487,110,1.34,1.7,6350,8353,42248
Tkツ,634429,194,1.51,2.3,8486,12490,24947
Rey de Oriente,1044577,222,2.14,4.8,4640,9465,43460
Antw8n,3284575,581,1.49,4.1,14196,20289,131773
Kaoony 父,2244988,477,2.21,3.9,12296,26064,89009
DerECHTE_045,2625413,243,1.16,1.1,22314,25553,99787
NRG NoMercys-,293429,17,0.63,0.8,2108,1321,13189
Crutch Lips,581446,62,1,1.8,3464,3413,25092
MANOLITO_CHILE,738057,126,1.38,3,4150,5559,30667
DuffedGlizzy69,584305,72,1,1.3,5725,5651,25435
кeybОard,1468643,265,1.58,2.1,12894,19919,57813
Mel1К3,1295277,200,1.5,2.2,8907,13025,54286
ᵀʷᶦᵗᶜʰ AlexayFTN,184850,50,2.1,3.8,1326,2683,7051
woow.919,240523,138,3.15,14.2,969,2621,7678
DaiWynn,1613986,765,2.01,6.9,11139,20871,61697
BENJYYTHEDEMON,2185501,1986,3.51,14,14139,42701,86048
APOIE theeusftn,1290127,203,1.95,2.6,7855,14945,51783
Λ Fighter Λ,139318,9,1.06,1.1,840,883,5938
ImInTheJungle,655163,488,2.47,8.1,6031,13676,26030
Geri.-,1005589,1152,5.14,25.8,4471,17065,28719
windinhishair,174754,44,1.55,4.2,1039,1540,8883
Twitch YkzTofu,717170,128,1.93,2.1,6193,11700,27675
HueyIFreeman,2755482,507,1.69,3,17095,28102,110511
VRTX Tekmarr,1537475,559,3.87,7,7983,28701,50603
Ƶ Ø M Ƀ Ɨ Ɨ 67,51476,4,1.28,1.5,260,328,2291
USE CODE -IQG7,1119389,35,0.88,0.3,11746,10311,50246
SchatachlKill,1415334,361,1.6,4.3,8302,12679,58602
BL SliX,1221604,503,2.86,6.4,7918,21230,48164
ooシシoo,1321540,498,2.27,8.1,6176,12886,52599
DGusta96,946594,294,2.61,5.6,5211,12839,36678
ZeZ_Chimpanezz,444971,251,2.87,11.4,2195,5574,15656
PlasticDreamssTV,653785,171,1.64,4.1,4159,6527,25800
Twitch Chica_Tw,626624,42,1.49,1.1,3843,5678,26863
ePandas Setunia,541975,71,0.84,1.3,5579,4614,23423
TD xKumu,841991,458,3.29,9.2,4994,14940,32102
Ψ king,826672,80,1.15,1.6,4918,5554,38563
Рlunger,565505,123,1.9,2.3,5240,9734,21143
DommyLlamaTTV,1935559,100,0.88,0.9,10726,9330,88090
KZR Kevzter.,650180,417,3.27,6.5,6379,19501,22286
S.P.D Emergency,234385,41,0.88,1.6,2490,2147,10415
GW_Kurara,1154819,677,3.72,11.8,5746,18860,43094
Sleptt,158059,27,1.41,2,1352,1873,6574
nоsh ӝ,217232,76,2.06,4.3,1764,3476,9058
Lewk.,1008279,476,2.97,6.2,7643,21320,34366
Z DarkSide,817791,163,1.61,3.8,4308,6658,33049
Martyška,2429950,227,1,0.9,25343,25194,105969
DonHyena,156500,84,1.63,8,1054,1582,6093
Mr Simba847,623138,161,1.52,3.2,5009,7384,26302
CH1LLMON,911140,116,1.63,1.9,6124,9795,36812
TTV.SkellySkillz,157584,40,2.1,3.5,1128,2281,6134
AdLeR ж,774165,157,1.58,2.5,6398,9866,31901
Santigold-,241888,38,1.25,2.5,1518,1848,10217
Donsuki,346619,51,1.45,1.8,2768,3943,13190
Рrеdator,967795,533,3.08,9.6,5551,15463,41820
Codek8 Twitch,1369373,662,2.48,9.4,7040,15843,46751
Flyvende Poteter,640098,236,2.1,4.9,4789,9561,25275
404 ɛʀʀʀօʀ,604031,158,1.37,2.8,5650,7550,25500
MastaSel,179753,86,1.78,3.5,2451,4202,6955
WMC_BORO-FRBAMBI,641467,110,0.91,2.5,4391,3885,27682
Fredator_,172464,29,0.98,1.9,1518,1452,6896
Kronxs.,835258,146,2.12,3.8,3888,7932,34382
Twitch Princeps,545946,256,2.64,12.1,2109,4888,21633
Sky-Pizza,1016491,174,1.27,2,8812,10953,38326
O B L I O,719002,96,0.69,2.1,4522,3055,33914
WAVE Seiyo,1953482,202,1.08,1.7,11786,12546,82794
Casual Avi,963203,487,3.27,16,3038,8350,33965
RajmaaChawal,751434,242,1.92,4.5,5332,9798,24926
Royal 山,2075571,82,1,0.4,22157,22083,88794
ITZZZ SHOHAM,832575,51,0.99,0.6,8423,8250,33537
it lovely kalil,1743773,218,0.85,1.8,12107,10051,77883
はぴはむ_ぱぱ,682101,353,4.27,16.8,2099,7460,22503
Apulze,445857,155,2.94,9.1,1695,4534,16656
リロードくん,529956,126,1.97,5.7,2223,4129,20530
The. Assassin,1034664,430,2.43,4.7,9122,21115,38213
Twitch LeDémon51,544218,99,0.73,2.9,3367,2398,24570
Kyrhox_iwnl,2330970,177,0.77,0.6,28798,22086,102333
TMK_WheresWaldo,1100375,183,1.17,2.6,7009,7989,46631
SayKamstar,1496051,395,1.65,5.1,7811,12257,65157
Scoooter67,1345807,266,0.86,4.2,6353,5255,59528
Owiipski,772708,101,0.91,1.8,5752,5150,34321
Vertex duszekk,1096049,430,2.01,4.5,9637,18533,43196
wildcat user,994172,129,1.77,1.9,6913,12012,36886
TheDoobieDude,84038,17,1.8,3.4,495,862,3342
DR 404,1232852,351,1.87,3.6,9851,17777,43546
ᵀʷᶦᵗᶜʰ Bala_Seca,371013,52,1.5,2.1,2490,3658,15924
Macman on Switch,190991,39,1.15,4.2,924,1016,7964
kaito 0109,908539,208,1.04,4.2,4937,4940,40401
ShockΖ,226477,58,2.58,4.2,1370,3379,8013
ItsMichaelaa,96408,5,0.55,0.5,1068,582,4308
Brasco en scred,632315,93,1.03,2.8,3344,3338,26776
Shahonti,79280,28,1.11,8.8,320,325,3369
Higs .,1327042,297,2.1,3.5,8488,17164,55240
Roarrz,858259,378,2.55,6.3,5984,14273,30147
DknMR,771715,36,0.73,0.6,6121,4451,34552
Alehandro nespit,1340168,255,1.72,2.3,11046,18607,52642
cr4zy_lucky,902167,142,0.88,2.9,4948,4238,39322
Anónimo tu vieja,583711,58,1.41,1.6,3644,5056,25187
DEMONNNN Jimm1x.,459826,115,1.14,2.8,4116,4544,19982
ASD ψ,988825,97,1.66,1.4,6863,11234,40267
Groot 69,1124468,331,1.36,2,16309,21716,45896
St3vsム,1624829,376,1.1,3.2,11625,12408,71109
Avgu57in,696076,115,1.94,2.8,4045,7612,25347
Vivoronte,990027,152,1.34,3.3,4672,6039,41009
f1ek4r,1074961,298,1.99,4.5,6650,12667,40229
Luis_ ay лол,1625157,158,1.04,1.2,13111,13487,74563
ＫＯ ＡＢＯ ＴＩＭ,381337,29,1.01,0.7,3902,3896,15953
Rekt loves Elo,862086,644,3.5,13.8,4654,14018,33784
TTV_wkCosmos,469343,44,0.97,1.5,2974,2847,22163
Renarsz,1914466,276,1.82,2,13553,24186,73559
Lei Ya,224662,38,0.86,2.8,1365,1143,10353
TTV KTSLlama,2142970,317,1.21,1.6,20109,23950,88338
amce big boss,2035983,263,0.84,1.9,14032,11562,87749
N o b r u,713177,155,1.37,3.2,4800,6342,30021
янг savage,1594530,118,1.27,1.2,9649,12085,68895
FB RobertoLNG,1637794,761,2.81,8.4,9063,23295,58667
ジOh Yeah Uhh,260927,23,0.61,0.7,3293,2007,11719
Der-Unwendige,34889,25,1.72,2.7,931,1555,1272
PG MASSUGODHH,441546,186,2.1,4.1,4517,9093,17800
Twitch picaza,1545311,289,2.13,2.7,10570,21848,58192
1iAmANiNja1,102283,7,1.27,1,684,863,4218
bz uchiha obito,1221115,208,1.61,2,10235,16142,48772
ASSA6644,192033,20,1.23,1.3,1561,1891,7798
PackUrBagz TTV,1458047,419,2.6,6.5,6430,15606,52868
Obie2x on twitch,1283731,144,1.4,1.7,8241,11364,55751
Thorp sama,265885,179,2.71,11,1633,3946,10379
FlowerPower44291,352241,89,2.45,6.9,1298,2961,13282
Y0KID,1311607,595,3.01,7.2,8318,23273,52030
iroken22,45214,14,1.18,4.2,332,375,1841
GWAtv Zum,651886,134,1.35,3.1,4312,5654,25970
byangel-,1269493,772,1.64,6,12828,19759,48038
ꓘush,125252,12,1.32,1.5,800,1037,5076
Mr. Mxrceloツ,1533037,475,1.96,4.3,10937,20496,60427
Pato1327,1225983,148,0.98,1.5,9602,9284,53035
32Leksa,1499547,139,1.49,1.5,9141,13412,61857
LiLqki ツ,2271735,830,2.56,5.4,15386,37241,89402
BabyFaceCro,274355,55,1.13,2.3,2426,2677,11502
User-2077da5d7e,1161698,7,0.08,0.1,5350,430,78359
YouTubeZinnPanda,111658,47,2.2,5.5,859,1789,3994
Ched-,838780,123,1.84,2.9,4254,7608,32361
Barnabas6002,298116,20,0.64,1.8,1103,689,14021
MXR Mysti,807972,137,1.27,2.2,6152,7667,33629
sok maj bols,1547269,170,1.27,1.3,13394,16800,61386
Supew Hess,240015,54,2.13,4.3,1251,2555,8688
nikitalfg,2154964,400,2.08,3.2,12425,25010,84058
GRANDOT3_,1125891,348,1.74,3.8,9119,15251,44168
NewD1splayName,1826012,213,1.12,2.3,9245,10136,85169
Nebuchadnezzar -,1139934,156,1.11,2.4,6590,7131,48515
DuNNNNNoo,1656754,115,1.06,1,10989,11519,75971
Vipinchanu,295060,86,1.76,7.2,1191,1947,11411
Youtube Fredde1x,360460,186,1.14,11.2,1658,1680,15175
ＷΛＬＫΞＲ,686298,126,0.99,2.2,5663,5460,29186
patadura22,851711,210,2.58,4.8,4343,10669,31290
Sedii EL BOOMr,506781,126,2.14,2.3,5441,11354,18642
Lichos11,584891,101,1.39,2.1,4872,6627,25431
1ϟB R Y A Nっっ,1088117,77,0.81,1,7716,6197,54673
VYA_HECTOR_93,298972,29,1.04,2,1474,1504,12927
claim noah74,798418,279,2.01,4,7044,13569,30963
刀iaℬlø,940341,179,1.46,2.2,8046,11465,37383
Ionzz 78,1118803,811,2.91,12.6,6446,16408,41908
TSN_Maryan21,81117,38,1.75,4.3,885,1483,2886
filipe水,1321403,737,3.35,7.7,9589,29632,51166
Virus AU,832155,203,1.54,3.5,5872,8750,32960
ThatGirlJasper,1229351,102,0.82,1.9,5452,4374,59389
Fragger Wavy,1203999,110,1.5,1.2,9302,13809,46603
Its W Key,1096884,195,1.62,3.1,6235,9815,44097
LuckySnorlax,151539,78,1.44,3.9,1975,2725,5639
MarianFlorinYT,590134,60,1.05,1.6,3804,3925,26425
Esk DrickanHD,1542774,100,1.03,0.7,14543,14922,66466
Martin MC_Fly,352743,34,1.08,1.7,1988,2102,15923
Moteram,1110455,34,0.83,0.4,7565,6237,48491
Βατευτής,1139570,356,1.27,3.2,10957,13425,49368
RB maxfar zones,644458,288,2.23,5.7,5051,10611,24980
Operator لTF2,29508,1,0.59,0.5,196,115,1361
Quadrupeltje,1107320,104,0.76,1.5,7009,5257,49791
Meloriax,1340228,489,2.71,8.5,5778,14339,46042
sneakynav,148245,29,1.31,1.8,1648,2124,5626
Wilder_Beast96,159085,57,1.83,2.5,2267,4039,5737
CarrieJoDubsTTV,1070228,162,1.25,3.5,4657,5602,45193
lem on ket,1194777,280,2.45,3.9,7241,17078,45162
FA Fr1xioN,336912,238,3.85,8.7,2737,9631,10451
evillious,916480,171,1.23,2.7,6364,7594,36963
underPressureL,171537,39,1.24,4.4,888,1050,7844
Ace Blake,808560,147,1.65,3.9,3774,5979,35596
Taigerino.FB,1474626,271,1.57,2.9,9397,14372,60872
K3MBO.,14571,40,2.98,13.4,299,773,526
junalu,2474803,219,1.34,1.9,11831,15545,102499
Don-Hosse,838508,59,0.77,1,5733,4347,38842
Critycal.exe,509368,76,1.31,2.3,3259,4177,20786
sugu cc,151982,31,1.21,1.5,2020,2408,6361
Back 2 da lobby,493489,238,2.6,10.6,2248,5228,18457
ɪx ɪᴛsғɪʟɪᴘᴇ ӝ,618198,57,0.83,1,5434,4443,28473
Cutie π,214031,97,1.67,6,1616,2530,9491
fungllll,28922,49,2.47,6.1,804,1862,1124
Dvourz ay лол,198039,163,4.56,16,1016,3887,6554
BM_BlackMamba_hd,73417,14,0.87,2.1,664,568,3166
mzamra,80796,44,1.66,8.4,522,792,3141
Mintie-,102621,5,0.93,0.8,617,570,4520
goose FN,4453,0,1.03,0,30,31,210
BadPing.ExE,238516,76,1.47,6.6,1145,1571,9942
Exoph,879974,707,4.75,13.7,5149,21080,28307
ARC Weliaz,1259493,1110,3.96,12.2,9128,31762,46216
GL Nizzy,1471781,823,4.5,14.5,5672,21834,49601
PieceConтrol Dan,1605644,306,1.48,2.9,10386,14896,71609
Breeezツ,1182509,159,1.32,1.5,10447,13587,46172
twitch patetafps,1734488,136,1.23,0.9,15900,19412,71739
JoshM On ᴺᴼᵀ,499517,117,1.39,1.9,6066,8291,20137
eRa Clipnode,1449565,1802,5.38,20.1,8982,38663,50524
12am Schlump,2381694,1915,6.53,34.6,5542,23678,78188
Tw Yusca16,1207355,182,1.32,0.9,21386,27889,51755
ChiLL-.,797963,164,0.89,3.2,5163,4425,37470
尊 ragisさん,966856,287,2.47,5.8,4936,11462,36843
SUPERLEAGUE DEAD,1324467,375,2.07,4,9354,18624,53613
Bomﱞb,385996,240,3.21,11.6,2070,5867,13499
BlitzIMr.Editz,527995,39,1.04,0.9,4290,4407,23201
777 RenaboDaSosa,1014327,115,1.37,1.3,9056,12286,39990
Scuba Sheep,1296998,291,1.3,4.8,6028,7476,52512
ovLDER 7,1470759,306,2.54,3.1,9893,24361,50396
nadrojب,562002,256,2.23,8.6,2971,6046,22580
TTV CokeSmok,486275,35,0.77,1.1,3317,2511,22158
C Ø N K E R,1176862,237,1.71,2.5,9512,15876,44704
Sparklin Mxrcx,957074,185,1.68,2.7,6857,11220,36833
idc jerm,1219558,1462,3.62,15.3,9581,29375,51047
LoseAngeles,2102985,318,1.88,2,15766,29039,81624
VALIFY Pixel,874467,127,1.34,1.5,8464,11154,34860
Washed ŦLEXX 愛,412891,77,1.34,3.6,2112,2736,18310
nice1nico,940253,277,2.85,4.8,5794,15706,35647
Essam-,409597,140,2.15,4,3501,7223,15324
