Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
RealDeadDylanTTV,817236,139,1.59,3.6,3860,5908,35607
ҠillswitcҤ,2616792,231,0.87,1.6,14102,12066,112842
pepeluvil,716906,92,0.82,2.1,4421,3539,32033
W-Barrett_ONE,1104572,528,3.67,13.9,3792,11981,37919
Mikest584,4724,0,0.53,0,209,110,210
GordinDaTwitch,81389,52,2.3,9.1,570,1191,3274
ChickPhilay,263075,38,1.5,2.1,1803,2651,10331
Settióp,2958200,1754,4.19,13.9,12659,45662,91632
binedebił,382738,194,2.64,8.5,2276,5503,13637
GamingwGhoulTV,63057,26,1.97,6.4,408,753,2182
whﱞiskey,43482,15,1.1,6,248,257,1960
a Glad Lad,2020823,108,1.2,0.9,11496,13631,89476
MBG-Muallim-Naci,2079997,301,1.4,0.9,32776,45588,79621
itsjust_Ivy_,296749,9,0.88,0.3,2769,2427,12597
Ar1us.,2283806,222,1.38,1.5,14986,20336,96091
Flames Getteyyy,1611405,708,3.01,7.9,8956,24853,60542
SouuThY,666690,440,4.45,13.7,3222,12389,23186
MåÐamButterƒly,559850,80,0.64,1.7,4774,3020,24883
miniyo2,82417,5,0.28,0.8,597,166,4179
ttwyla,223485,63,2.23,6.5,964,2008,8209
Tishø,374857,28,0.24,0.2,14316,3500,10800
Code DashCb,434980,138,1.44,5.6,2457,3342,17604
Jacobreyli ӝ,1550041,286,1.7,2.5,11346,18754,60777
djharrymusicTV,977202,74,1.15,1.2,6112,6973,43418
B4SH4R ӝ,2164480,294,1.56,1.8,15989,24448,83509
TM mohamad,310528,47,0.85,1.4,3390,2842,13415
TREEPROBLEMS,1886945,430,1.95,3.5,12174,22950,69964
JustBlameJoshTV,25243,4,0.72,2.2,185,131,1123
jmoe161 TV,505070,1044,5.86,18.7,5579,26593,15977
JKForsaken,887365,560,3.23,9.3,6002,17588,32586
BottedFPS,1589823,293,1.9,2.4,12187,22571,57764
The Gorg,553427,78,0.83,3.2,2468,1986,24567
Erkan does care,191914,74,0.56,1.1,6930,3862,9095
KUUBi-,2202024,156,1.65,0.9,17729,28936,80894
Evening0 Twitch,190982,14,0.92,0.8,1837,1681,8050
ToXic_Crispin,181857,22,0.92,1.1,1922,1740,7623
Typical Gamer,2613995,2222,6.03,19.8,11219,54262,77932
Rinyache32,2229531,231,1.68,1.5,14930,24710,87225
AuhurAlter,521682,371,3.18,17.5,2121,5571,19179
Mr chatman,1015309,75,0.94,1,7276,6772,43304
